focal,moderator,moderator_level,moderator_value,q_post_specific_likeability,q_post_specific_mentacy_belief_scale,like_c,ment_c,like_x_ment,predicted_completions
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-6.0,-0.6391752577319592,-4.185567010309279,2.675310872568819,10.610632878429234
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.848101265822785,-0.6391752577319592,-4.0336682761320635,2.5782209600019392,10.699489375847092
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.69620253164557,-0.6391752577319592,-3.8817695419548484,2.4811310474350594,10.789089983180327
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.544303797468355,-0.6391752577319592,-3.7298708077776332,2.3840411348681796,10.879440931819822
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.3924050632911396,-0.6391752577319592,-3.577972073600418,2.2869512223012998,10.970548505339883
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.240506329113924,-0.6391752577319592,-3.426073339423202,2.189861309734419,11.06241903993532
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.088607594936709,-0.6391752577319592,-3.274174605245988,2.09277139716754,11.155058924862027
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.936708860759493,-0.6391752577319592,-3.122275871068772,1.9956814846006596,11.248474602881387
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.784810126582278,-0.6391752577319592,-2.970377136891557,1.8985915720337798,11.342672570708325
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.632911392405063,-0.6391752577319592,-2.8184784027143417,1.8015016594669,11.437659379463124
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.481012658227848,-0.6391752577319592,-2.6665796685371266,1.7044117469000202,11.533441635127025
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.329113924050633,-0.6391752577319592,-2.5146809343599115,1.6073218343331404,11.630025999001687
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.177215189873418,-0.6391752577319592,-2.3627822001826964,1.5102319217662605,11.7274191881724
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.025316455696203,-0.6391752577319592,-2.2108834660054812,1.4131420091993807,11.82562797597528
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.873417721518987,-0.6391752577319592,-2.0589847318282652,1.3160520966325002,11.92465919246831
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.721518987341772,-0.6391752577319592,-1.9070859976510504,1.2189621840656206,12.024519724906332
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.569620253164557,-0.6391752577319592,-1.7551872634738352,1.1218722714987408,12.125216518220062
