focal,moderator,moderator_level,moderator_value,q_post_specific_likeability,q_post_specific_mentacy_belief_scale,like_c,ment_c,like_x_ment,predicted_completions
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.0,-5.0,-2.639175257731959,-3.1855670103092786,8.407269635455418,4.304646377955909
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.050632911392405,-5.0,-2.5885423463395543,-3.1855670103092786,8.24597510328786,4.410219360222182
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.1012658227848102,-5.0,-2.537909434947149,-3.1855670103092786,8.0846805711203,4.518381557398575
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.151898734177215,-5.0,-2.487276523554744,-3.1855670103092786,7.923386038952742,4.629196470900948
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.2025316455696204,-5.0,-2.4366436121623387,-3.1855670103092786,7.762091506785183,4.7427291595399605
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.2531645569620253,-5.0,-2.386010700769934,-3.1855670103092786,7.600796974617625,4.859046277716718
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.3037974683544302,-5.0,-2.335377789377529,-3.1855670103092786,7.439502442450067,4.978216114555203
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.3544303797468356,-5.0,-2.2847448779851236,-3.1855670103092786,7.278207910282507,5.100308633994438
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.4050632911392404,-5.0,-2.2341119665927187,-3.1855670103092786,7.116913378114949,5.225395515863907
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.4556962025316453,-5.0,-2.183479055200314,-3.1855670103092786,6.9556188459473915,5.353550197966394
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.5063291139240507,-5.0,-2.1328461438079085,-3.1855670103092786,6.794324313779833,5.484847919192892
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.5569620253164556,-5.0,-2.0822132324155036,-3.1855670103092786,6.633029781612275,5.619365763694934
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.607594936708861,-5.0,-2.0315803210230983,-3.1855670103092786,6.471735249444715,5.757182706140268
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.6582278481012658,-5.0,-1.9809474096306934,-3.1855670103092786,6.3104407172771575,5.898379658078433
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.708860759493671,-5.0,-1.930314498238288,-3.1855670103092786,6.149146185109599,6.043039515443478
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.759493670886076,-5.0,-1.8796815868458832,-3.1855670103092786,5.987851652942041,6.191247207221693
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.810126582278481,-5.0,-1.8290486754534783,-3.1855670103092786,5.826557120774483,6.343089745312941
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.8607594936708862,-5.0,-1.778415764061073,-3.1855670103092786,5.665262588606923,6.498656275614855
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.911392405063291,-5.0,-1.727782852668668,-3.1855670103092786,5.503968056439366,6.658038130359884
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,3.962025316455696,-5.0,-1.6771499412762632,-3.1855670103092786,5.342673524271808,6.821328881735944
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.012658227848101,-5.0,-1.6265170298838578,-3.1855670103092786,5.181378992104248,6.988624396822109
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.063291139240507,-5.0,-1.5758841184914525,-3.1855670103092786,5.020084459936689,7.160022893871639
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.113924050632911,-5.0,-1.525251207099048,-3.1855670103092786,4.858789927769132,7.335624999975359
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.1645569620253164,-5.0,-1.4746182957066427,-3.1855670103092786,4.697495395601574,7.515533810139267
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.215189873417722,-5.0,-1.4239853843142374,-3.1855670103092786,4.536200863434014,7.699854947811017
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.265822784810126,-5.0,-1.373352472921833,-3.1855670103092786,4.374906331266458,7.88869662689085
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.3164556962025316,-5.0,-1.3227195615294276,-3.1855670103092786,4.213611799098898,8.08216971526338
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.367088607594937,-5.0,-1.2720866501370223,-3.1855670103092786,4.05231726693134,8.280387799887485
q_post_specific_likeability,q_post_specific_mentacy_belief_scale,low,-5.0,4.417721518987342,-5.0,-1.221453738744617,-3.1855670103092786,3.89102273476378,8.483467253482578
