participant_number,captcha_post_completions,q_post_specific_likeability,q_post_specific_mentism,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,mentism_c,like_x_mentism,liking_zone,mentism_zone,quadrant
1,15,7.0,-5.0,4.0,4.9,3.933333333333333,3.6666666666666665,3.0,1.3775510204081636,-3.142857142857143,-4.329446064139942,high_liking,low_mentism,high_liking__low_mentism
2,11,7.0,4.0,4.6,5.0,3.533333333333333,5.333333333333333,4.0,1.3775510204081636,5.857142857142858,8.068513119533531,high_liking,higher_mentism,high_liking__higher_mentism
3,5,7.0,-2.0,3.6,6.1,4.6,3.6666666666666665,3.0,1.3775510204081636,-0.1428571428571428,-0.19679300291545185,high_liking,higher_mentism,high_liking__higher_mentism
4,67,7.0,-5.0,5.3,5.1,3.066666666666667,2.0,3.0,1.3775510204081636,-3.142857142857143,-4.329446064139942,high_liking,low_mentism,high_liking__low_mentism
6,30,6.0,-0.0,4.8,3.4,2.4,4.666666666666667,5.0,0.3775510204081636,1.8571428571428572,0.7011661807580181,high_liking,higher_mentism,high_liking__higher_mentism
7,10,7.0,-5.0,4.4,4.8,4.533333333333333,5.333333333333333,5.0,1.3775510204081636,-3.142857142857143,-4.329446064139942,high_liking,low_mentism,high_liking__low_mentism
8,10,5.0,-5.0,3.9,5.3,3.933333333333333,2.6666666666666665,4.0,-0.6224489795918364,-3.142857142857143,1.956268221574343,lower_liking,low_mentism,lower_liking__low_mentism
9,15,5.0,1.0,5.2,4.5,4.6,3.0,2.0,-0.6224489795918364,2.857142857142857,-1.7784256559766756,lower_liking,higher_mentism,lower_liking__higher_mentism
10,12,6.0,-3.0,4.0,4.5,1.2,3.333333333333333,2.0,0.3775510204081636,-1.1428571428571428,-0.43148688046647266,high_liking,higher_mentism,high_liking__higher_mentism
11,11,6.0,0.0,4.1,5.6,2.7333333333333334,4.333333333333333,5.0,0.3775510204081636,1.8571428571428572,0.7011661807580181,high_liking,higher_mentism,high_liking__higher_mentism
12,11,6.0,2.0,5.6,4.3,4.266666666666667,4.0,5.0,0.3775510204081636,3.857142857142857,1.4562682215743452,high_liking,higher_mentism,high_liking__higher_mentism
13,17,7.0,-3.0,4.7,3.9,2.066666666666667,5.333333333333333,2.0,1.3775510204081636,-1.1428571428571428,-1.5743440233236154,high_liking,higher_mentism,high_liking__higher_mentism
14,8,7.0,-3.0,4.4,4.3,3.2666666666666666,1.6666666666666667,3.0,1.3775510204081636,-1.1428571428571428,-1.5743440233236154,high_liking,higher_mentism,high_liking__higher_mentism
15,10,4.0,-5.0,4.9,5.9,3.066666666666667,3.333333333333333,2.0,-1.6224489795918364,-3.142857142857143,5.099125364431486,lower_liking,low_mentism,lower_liking__low_mentism
16,5,5.0,-3.0,3.4,4.5,3.066666666666667,5.333333333333333,6.0,-0.6224489795918364,-1.1428571428571428,0.7113702623906701,lower_liking,higher_mentism,lower_liking__higher_mentism
17,10,6.0,-6.0,4.5,4.1,3.4,2.333333333333333,2.0,0.3775510204081636,-4.142857142857142,-1.5641399416909632,high_liking,low_mentism,high_liking__low_mentism
