focal,moderator,moderator_level,moderator_value,q_post_specific_likeability,q_post_specific_mentism,like_c,mentism_c,like_x_mentism,predicted_completions
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-6.0,-0.6224489795918364,-4.142857142857142,2.578717201166179,10.822419830023483
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.848101265822785,-0.6224489795918364,-3.9909584086799277,2.4841679890762802,10.9071472045938
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.69620253164557,-0.6224489795918364,-3.8390596745027126,2.389618776986381,10.992537899208468
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.544303797468355,-0.6224489795918364,-3.6871609403254975,2.295069564896482,11.078597106917348
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.3924050632911396,-0.6224489795918364,-3.5352622061482823,2.2005203528065826,11.165330061426044
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.240506329113924,-0.6224489795918364,-3.3833634719710663,2.105971140716683,11.252742037414196
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-5.088607594936709,-0.6224489795918364,-3.231464737793852,2.0114219286267847,11.340838350856247
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.936708860759493,-0.6224489795918364,-3.079566003616636,1.9168727165368848,11.429624359344732
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.784810126582278,-0.6224489795918364,-2.927667269439421,1.8223235044469857,11.51910546241613
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.632911392405063,-0.6224489795918364,-2.775768535262206,1.7277742923570865,11.609287101879202
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.481012658227848,-0.6224489795918364,-2.623869801084991,1.6332250802671873,11.700174762145949
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.329113924050633,-0.6224489795918364,-2.4719710669077757,1.538675868177288,11.791773970565165
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.177215189873418,-0.6224489795918364,-2.3200723327305606,1.444126656087389,11.884090297758547
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-4.025316455696203,-0.6224489795918364,-2.1681735985533455,1.34957744399749,11.977129357959516
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.873417721518987,-0.6224489795918364,-2.01627486437613,1.2550282319075905,12.070896809354611
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.721518987341772,-0.6224489795918364,-1.8643761301989148,1.1604790198176913,12.165398354427607
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.569620253164557,-0.6224489795918364,-1.7124773960216997,1.0659298077277921,12.26063974030632
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.4177215189873418,-0.6224489795918364,-1.5605786618444846,0.971380595637893,12.35662675911212
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.2658227848101267,-0.6224489795918364,-1.4086799276672695,0.8768313835479938,12.453365248312148
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-3.113924050632911,-0.6224489795918364,-1.256781193490054,0.7822821714580944,12.550861091074374
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-2.962025316455696,-0.6224489795918364,-1.1048824593128388,0.6877329593681952,12.649120216625342
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-2.810126582278481,-0.6224489795918364,-0.9529837251356237,0.593183747278296,12.748148600610762
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-2.6582278481012658,-0.6224489795918364,-0.8010849909584086,0.4986345351883969,12.847952265458952
q_post_specific_mentism,q_post_specific_likeability,low,5.0,5.0,-2.5063291139240507,-0.6224489795918364,-0.6491862567811935,0.40408532309849776,12.948537280747054
