exp_sid,participant_number,age,gender,analysis_note,captcha_pre_attempts,captcha_pre_completions,captcha_pre_goal,captcha_pre_total_time,captcha_pre_mean_rt,captcha_post_attempts,captcha_post_completions,captcha_post_goal,captcha_post_total_time,captcha_post_mean_rt,q_pre_captcha_total_time,q_pre_captcha_fun,q_pre_captcha_difficulty,q_pre_captcha_meaningfulness,q_pre_idaq_total_time,q_pre_idaq,q_pre_2050_total_time,q_pre_2050_mean_futurism_score,q_post_gators_total_time,q_post_gators_pos,q_post_gators_neg,q_post_specific_total_time,q_post_specific_mentism,q_post_specific_likeability,q_post_specific_robot_has_mind,q_post_specific_robot_empathy,watchdog_total,total_words,mean_words_per_turn,word_rate_wps,robot_total_words,robot_mean_words_per_turn,robot_word_rate_wps,mean_latency_sec,voice_metrics_valid
d4f017f131894c6480ae173727b7aa15,1,17,female,,15,10,10,239.924,15.321733333333334,23,15,1000,214.929,8.641782608695651,40.832,3.6666666666666665,3.0,5.0,361.469,3.933333333333333,173.092,5.4,1054.862,4.0,4.9,35.626,-5.0,7.0,0,5.0,0,,,,,,,,True
0991825287e24a6fa95fce328622b05f,2,18,female,,13,10,10,236.138,17.69615384615384,14,11,1000,165.345,11.375642857142855,28.475,5.333333333333333,4.0,4.0,175.717,3.533333333333333,101.227,4.066666666666666,120.335,4.6,5.0,21.451,4.0,7.0,1,6.0,0,255.0,10.2,1.9023107480557264,1053.0,42.12,2.6637730130133472,9.52096,True
dcb449585f9c4ccdb12eedf96ccd1d55,3,17,female,,14,10,10,159.345,10.80435714285714,7,5,1000,67.3,9.324142857142858,45.869,3.6666666666666665,3.0,4.0,237.375,4.6,140.695,3.8666666666666663,117.549,3.6,6.1,33.026,-2.0,7.0,0,2.0,3,246.0,11.714285714285714,1.997417971889996,1020.0,48.57142857142857,2.707065945778825,39.73090476190476,True
f421afa804904223a83d5009309f4859,4,18,female,,15,10,10,177.76,11.177333333333335,88,67,1000,774.833,8.321522727272727,28.733,2.0,3.0,1.0,333.23,3.066666666666667,176.438,4.866666666666666,89.999,5.3,5.1,27.195,-5.0,7.0,0,7.0,0,,,,,,,,True
0955eb67041143128a2b1b26ee7d4ebe,6,17,male,,12,10,10,180.568,14.70841666666667,32,30,1000,269.524,8.291625,38.867,4.666666666666667,5.0,2.0,227.073,2.4,181.596,3.6,140.868,4.8,3.4,52.223,-0.0,6.0,0,5.0,0,196.0,9.8,1.8872920728918416,1093.0,54.65,2.5535481028268343,17.3296,True
ab2be3030cef4125adb5c3b6ab4f23ab,7,18,female,,12,10,10,161.651,13.131916666666667,13,10,1000,108.836,7.904076923076923,117.166,5.333333333333333,5.0,4.0,149.38,4.533333333333333,108.675,2.066666666666667,91.396,4.4,4.8,16.738,-5.0,7.0,0,7.0,0,,,,,,,,True
1e53d11b72574a2aa0696ccbc1e987f7,8,18,male,,13,10,10,196.518,14.649,11,10,1000,114.931,10.26109090909091,17.402,2.6666666666666665,4.0,3.0,143.541,3.933333333333333,161.323,4.866666666666666,96.687,3.9,5.3,18.082,-5.0,5.0,0,2.0,1,392.0,23.058823529411764,2.469252452717281,1104.0,64.94117647058823,2.574052742691153,15.467058823529417,True
dc5266bf7db74dcd8b2a4b4ebed65967,9,20,female,,12,10,10,142.206,11.51175,18,15,1000,153.77,8.203277777777778,28.124,3.0,2.0,2.0,226.576,4.6,172.279,4.066666666666666,142.0,5.2,4.5,34.05,1.0,5.0,1,3.0,0,449.0,29.933333333333334,2.1447132102869806,978.0,65.2,2.6210743596885453,18.38746666666667,True
a32acc2dcc1544d0b011d33223733a40,10,29,female,,12,10,10,250.199,20.511,16,12,1000,259.117,15.687875,50.061,3.333333333333333,2.0,2.0,375.698,1.2,160.044,2.6666666666666665,247.492,4.0,4.5,39.995,-3.0,6.0,0,5.0,1,237.0,14.8125,1.871505732966929,1028.0,64.25,2.510176738877807,18.204187500000003,True
023f77ba0feb4f1cac3a22936b3d797c,11,17,female,,19,10,10,307.716,15.241105263157891,12,11,1000,127.956,10.491583333333333,21.311,4.333333333333333,5.0,3.0,155.765,2.7333333333333334,146.387,4.266666666666667,139.94,4.1,5.6,37.282,0.0,6.0,1,6.0,1,255.0,12.142857142857142,2.1603761596136737,1199.0,57.095238095238095,2.7613398455455678,11.726571428571429,True
